"abbreviation";"code";"state";"region"
"AC";12;"Acre";"NORTE"
"AL";27;"Alagoas";"NORDESTE"
"AM";13;"Amazonas";"NORTE"
"AP";16;"Amapá";"NORTE"
"BA";29;"Bahia";"NORDESTE"
"CE";23;"Ceará";"NORDESTE"
"DF";53;"Distrito Federal";"CENTRO OESTE"
"ES";32;"Espírito Santo";"SUDESTE"
"GO";52;"Goiás";"CENTRO OESTE"
"MA";21;"Maranhão";"NORDESTE"
"MG";31;"Minas Gerais";"SUDESTE"
"MS";50;"Mato Grosso do Sul";"CENTRO OESTE"
"MT";51;"Mato Grosso";"CENTRO OESTE"
"PA";15;"Pará";"NORTE"
"PB";25;"Paraíba";"NORDESTE"
"PE";26;"Pernambuco";"NORDESTE"
"PI";22;"Piauí";"NORDESTE"
"PR";41;"Paraná";"SUL"
"RJ";33;"Rio de Janeiro";"SUDESTE"
"RN";24;"Rio Grande do Norte";"NORDESTE"
"RO";11;"Rondônia";"NORTE"
"RR";14;"Roraima";"NORTE"
"RS";43;"Rio Grande do Sul";"SUL"
"SC";42;"Santa Catarina";"SUL"
"SE";28;"Sergipe";"NORDESTE"
"SP";35;"São Paulo";"SUDESTE"
"TO";17;"Tocantins";"NORTE"
